"Category";"Name";"Postcode";"Full address";"Search keywords";"Latitude";"Longitude";"Ordering";"Active";"Created at";"Updated at"
"Airports";"Aberdeen International Airport";"AB21 7DU";"Dyce, Aberdeen AB21 7DU Aberdeen International Airport";"Aberdeen, Aberdeen International Airport, Aberdeen Aberdeen, Aberdeen International Airport, Aberdeen Airport, aberdeen, scotland airport, scotland";"57.200493";"-2.204897";"0";"Yes";"28/02/2025 12:11";""
"Airports";"Belfast International Airport";"BT29 4AB";"Airport Rd, Crumlin BT29 4AB Belfast International Airport";"Belfast, Belfast International Airport, Belfast airport";"54.657917";"-6.221205";"0";"Yes";"28/02/2025 12:02";""
"Airports";"Biggin Hill Airport";"TN16 3BH";"Biggin Hill Airport, TN16 3BH";"";"";"";"0";"Yes";"04/01/2025 23:20";""
"Airports";"Birmingham Airport";"B26 3QJ";"Birmingham B26 3QJ Birmingham Airport";"Birmingham, Birmingham Airport, bham, birm,";"52.451299";"-1.731056";"0";"Yes";"28/02/2025 11:58";""
"Airports";"Birmingham International  Airport";"B26 3QJ";"Birmingham International  Airport, B26 3QJ";"";"";"";"0";"Yes";"04/01/2025 23:20";""
"Airports";"Blackpool Airport";"FY4 2QY";"Squires Gate Ln, Blackpool FY4 2QY Blackpool Airport";"Blackpool Airport, Blackpool";"53.778242";"-3.042925";"0";"Yes";"28/02/2025 12:26";""
"Airports";"Bournemouth Airport";"BH23 6SE";"Parley Ln, Christchurch BH23 6SE Bournemouth Airport";"Bournemouth Airport, Bournemouth, airport bournemouth";"50.777551";"-1.832283";"0";"Yes";"28/02/2025 12:23";""
"Airports";"Bristol Airport";"BS48 3DY";"Bristol Airport, BS48 3DY";"";"";"";"0";"Yes";"04/01/2025 23:20";""
"Airports";"Bristol Airport";"BS48 3DY";"Bristol BS48 3DY Bristol Airport";"Bristol Airport, Bristol, bristol city,";"51.385858";"-2.71284";"0";"Yes";"28/02/2025 12:18";""
"Airports";"City Airport";"E16 2PX";"City Airport, E16 2PX";"";"";"";"0";"Yes";"04/01/2025 23:20";""
"Airports";"Coventry Airport Limited";"CV3 4FR";"Control Tower, Rowley Rd, Coventry CV3 4FR Coventry Airport Limited";"Coventry Airport Limited, Coventry airport";"52.37319";"-1.478985";"0";"Yes";"28/02/2025 12:25";""
"Airports";"Denham Aerodrome";"UB9 5DF";"Denham Aerodrome, UB9 5DF";"";"";"";"0";"Yes";"04/01/2025 23:20";""
